"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","WAR","playerid"
"2016","Matt Carpenter","Cardinals","129","473","566","128","65","36","6","21","81","68","81","108","0","4",".271",".380",".505",".885","3.2","8090"
"1978","Steve Garvey","Dodgers","162","639","689","202","136","36","9","21","89","113","40","70","10","5",".316",".353",".499",".852","4.8","1004557"
"1994","Sammy Sosa","Cubs","105","426","458","128","80","17","6","25","59","70","25","92","22","13",".300",".339",".545",".884","3.8","302"
"1982","Bob Horner","Braves","140","499","572","130","74","24","0","32","85","97","66","75","3","5",".261",".350",".501",".851","3.0","1006026"
"1962","Orlando Cepeda","Giants","162","625","676","191","129","26","1","35","105","114","37","97","10","4",".306",".347",".518",".865","3.3","1002103"
"1939","Cookie Lavagetto","Dodgers","153","587","678","176","133","28","5","10","93","87","78","30","14","",".300",".387",".416",".802","3.8","1007386"
"2009","Josh Willingham","Nationals","133","427","502","111","58","29","0","24","70","61","61","104","4","3",".260",".367",".496",".863","2.4","2103"
"2000","Ray Lankford","Cardinals","128","392","472","99","54","16","3","26","73","65","70","148","5","6",".253",".367",".508",".874","1.4","1044"
"1995","Ray Lankford","Cardinals","132","483","553","134","72","35","2","25","81","82","63","110","24","8",".277",".360",".513",".873","4.3","1044"
"2003","Edgar Renteria","Cardinals","157","587","663","194","133","47","1","13","96","100","65","54","34","7",".330",".394",".480",".874","6.3","1178"
"2008","Joey Votto","Reds","151","526","589","156","97","32","3","24","69","84","59","102","7","5",".297",".368",".506",".874","3.6","4314"
"2006","Andruw Jones","Braves","156","565","669","148","78","29","0","41","107","129","82","127","4","1",".262",".363",".531",".894","6.0","96"
"1994","Bobby Bonilla","Mets","108","403","460","117","72","24","1","20","60","67","55","101","1","3",".290",".374",".504",".878","3.0","1001168"
"1937","Babe Phelps","Dodgers","121","409","442","128","81","37","3","7","42","58","25","28","2","",".313",".357",".469",".826","2.6","1010275"
"1941","Vince DiMaggio","Pirates","151","528","605","141","88","27","5","21","73","100","68","100","10","",".267",".354",".456",".810","3.8","1003312"
"1959","Joe Adcock","Braves","115","404","444","118","72","19","2","25","53","76","32","77","0","0",".292",".339",".535",".874","3.7","1000067"
"2011","Aramis Ramirez","Cubs","149","565","626","173","111","35","1","26","80","93","43","69","1","1",".306",".361",".510",".871","3.3","1002"
"1999","Phil Nevin","Padres","128","383","441","103","52","27","0","24","52","85","51","82","1","0",".269",".352",".527",".880","3.5","1049"
"1993","Bernard Gilkey","Cardinals","137","557","622","170","109","40","5","16","99","70","56","66","15","10",".305",".370",".481",".851","3.7","1004706"
"2008","Pat Burrell","Phillies","157","536","645","134","65","33","3","33","74","86","102","136","0","0",".250",".367",".507",".875","2.3","949"
"1955","Del Ennis","Phillies","146","564","623","167","107","24","7","29","82","120","46","46","4","2",".296",".346",".518",".864","3.3","1003786"
"2007","Dmitri Young","Nationals","136","460","508","147","95","38","1","13","57","74","44","74","0","0",".320",".378",".491",".869","1.0","505"
"2008","Carlos Beltran","Mets","161","606","706","172","100","40","5","27","116","112","92","96","25","3",".284",".376",".500",".876","7.2","589"
"2010","Josh Willingham","Nationals","114","370","451","99","62","19","2","16","54","56","67","85","8","0",".268",".389",".459",".848","2.5","2103"
"1953","Dee Fondy","Cubs","150","595","641","184","131","24","11","18","79","78","44","106","10","7",".309",".358",".477",".835","1.7","1004204"
"1999","Eddie Taubensee","Reds","126","424","461","132","87","22","2","21","58","87","30","67","0","2",".311",".354",".521",".876","1.6","1012845"
"2000","Derrek Lee","Marlins","158","477","546","134","85","18","3","28","70","70","63","123","0","3",".281",".368",".507",".875","1.8","525"
"1983","Jose Cruz","Astros","160","594","664","189","139","28","8","14","85","92","65","86","30","16",".318",".385",".463",".848","5.8","1002841"
"2006","Bill Hall","Brewers","148","537","608","145","67","39","4","35","101","85","63","162","8","9",".270",".345",".553",".899","5.1","1605"
"1988","Eric Davis","Reds","135","472","543","129","82","18","3","26","81","93","65","124","35","3",".273",".363",".489",".852","4.3","1003048"
"1947","Andy Seminick","Phillies","111","337","405","85","54","16","2","13","48","50","58","69","4","",".252",".370",".427",".797","2.3","1011742"
"1971","Deron Johnson","Phillies","158","582","660","154","91","29","0","34","74","95","72","146","0","1",".265",".347",".490",".836","3.9","1006444"
"2017","Justin Bour","Marlins","108","377","429","109","66","18","0","25","52","83","47","95","1","0",".289",".366",".536",".902","2.3","9744"
"2008","Mark DeRosa","Cubs","149","505","593","144","90","30","3","21","103","87","69","106","6","0",".285",".376",".481",".857","4.2","1392"
"1939","Paul Waner","Pirates","125","461","506","151","112","30","6","3","62","45","35","18","0","",".328",".375",".438",".813","1.9","1013597"
"1968","Billy Williams","Cubs","163","642","699","185","117","30","8","30","91","98","48","53","4","1",".288",".336",".500",".836","5.0","1013975"
"1950","Dick Sisler","Phillies","141","523","593","155","109","29","4","13","79","83","64","50","1","",".296",".373",".442",".815","3.1","1012020"
"1987","Mike Aldrete","Giants","126","357","406","116","87","18","2","9","50","51","43","50","6","0",".325",".396",".462",".858","3.6","1000114"
"2006","Scott Rolen","Cardinals","142","521","594","154","83","48","1","22","94","95","56","69","7","4",".296",".369",".518",".887","5.5","970"
"2003","Preston Wilson","Rockies","155","600","661","169","89","43","1","36","94","141","54","139","14","7",".282",".343",".537",".880","3.4","545"
"1941","Max West","Braves","138","484","560","134","90","28","4","12","63","68","72","68","5","",".277",".373",".426",".798","3.4","1013809"
"2009","Chris Coghlan","Marlins","128","504","565","162","116","31","6","9","84","47","53","77","8","5",".321",".390",".460",".850","2.7","6878"
"1943","Arky Vaughan","Dodgers","149","610","685","186","136","39","6","5","112","66","60","13","20","",".305",".370",".413",".783","5.0","1013377"
"1939","Ernie Lombardi","Reds","130","450","494","129","81","26","2","20","43","85","35","19","0","",".287",".342",".487",".829","2.9","1007718"
"1978","Ron Cey","Dodgers","159","555","667","150","95","32","0","23","84","84","96","96","2","5",".270",".380",".452",".833","5.7","1002108"
"1958","Frank Thomas","Pirates","149","562","620","158","93","26","4","35","89","109","42","79","0","1",".281",".334",".528",".863","3.2","1012976"
"1956","Gil Hodges","Dodgers","153","550","633","146","81","29","4","32","86","87","76","91","3","3",".265",".354",".507",".861","3.7","1005883"
"1991","Ivan Calderon","Expos","134","470","537","141","97","22","3","19","69","75","53","64","31","16",".300",".368",".481",".848","3.5","1001825"
"2014","Freddie Freeman","Braves","162","607","708","175","110","43","4","18","93","78","90","145","3","4",".288",".386",".461",".847","4.4","5361"
"2004","Miguel Cabrera","Marlins","160","603","685","177","112","31","1","33","101","112","68","148","5","2",".294",".366",".512",".879","2.3","1744"
"1936","Stan Hack","Cubs","149","561","666","167","130","27","4","6","102","78","89","39","17","",".298",".396",".392",".788","3.6","1005183"
"1938","Wally Berger","- - -","115","439","472","131","88","23","4","16","79","60","31","48","2","",".298",".347",".478",".826","2.6","1000875"
"1952","Andy Pafko","Dodgers","150","551","624","158","117","17","5","19","76","85","64","48","4","3",".287",".366",".439",".805","3.1","1009948"
"2018","Jesus Aguilar","Brewers","149","492","566","135","75","25","0","35","80","108","58","143","0","0",".274",".352",".539",".890","3.1","11342"
"1983","Andre Dawson","Expos","159","633","698","189","111","36","10","32","104","113","38","81","25","11",".299",".338",".539",".877","6.5","1003091"
"1970","Ron Santo","Cubs","154","555","655","148","88","30","4","26","83","114","92","108","2","0",".267",".369",".476",".844","4.4","1011447"
"2012","Allen Craig","Cardinals","119","469","514","144","87","35","0","22","76","92","37","89","2","1",".307",".354",".522",".876","2.3","3433"
"2016","Brandon Belt","Giants","156","542","655","149","83","41","8","17","77","82","104","148","0","4",".275",".394",".474",".868","3.9","10264"
"1972","Nate Colbert","Padres","151","563","643","141","74","27","2","38","87","111","70","127","15","6",".250",".333",".508",".841","5.0","1002407"
"1977","Gene Tenace","Padres","147","437","581","102","59","24","4","15","66","61","125","119","5","3",".233",".415",".410",".824","4.6","1012911"
"1997","Kenny Lofton","Braves","122","493","564","164","133","20","6","5","90","48","64","83","27","20",".333",".409",".428",".837","5.2","246"
"2008","Jayson Werth","Phillies","134","418","482","114","71","16","3","24","73","67","57","119","20","1",".273",".363",".498",".861","5.1","1327"
"1983","George Hendrick","Cardinals","144","529","594","168","114","33","3","18","73","97","51","76","3","4",".318",".373",".493",".866","3.5","1005642"
"1986","Kevin McReynolds","Padres","158","560","641","161","98","31","6","26","89","96","66","83","8","6",".288",".358",".504",".862","4.2","1008690"
"1998","Dante Bichette","Rockies","161","662","695","219","147","48","2","22","97","122","28","76","14","4",".331",".357",".509",".866","1.4","1000946"
"1999","Greg Vaughn","Reds","153","550","643","135","68","20","2","45","104","118","85","137","15","2",".245",".347",".535",".881","3.5","1233"
"1994","Dante Bichette","Rockies","116","484","509","147","85","33","2","27","74","95","19","70","21","8",".304",".334",".548",".882","1.5","1000946"
"2012","Carlos Gonzalez","Rockies","135","518","579","157","99","31","5","22","89","85","56","115","20","5",".303",".371",".510",".881","2.7","7287"
"1979","Joe Ferguson","Dodgers","122","363","442","95","61","14","0","20","54","69","70","68","1","0",".262",".380",".466",".845","3.0","1003990"
"1958","Frank Robinson","Redlegs","148","554","623","149","87","25","6","31","90","83","62","80","10","1",".269",".350",".504",".854","3.9","1011066"
"2001","Aramis Ramirez","Pirates","158","603","655","181","107","40","0","34","83","112","40","100","5","4",".300",".350",".536",".885","4.7","1002"
"1950","Wes Westrum","Giants","140","437","532","103","64","13","3","23","68","71","92","73","2","",".236",".371",".437",".808","3.9","1013812"
"1932","Hal Lee","Phillies","149","595","638","180","110","42","10","18","76","85","36","45","6","",".303",".343",".497",".841","2.7","1007455"
"1993","Bobby Bonilla","Mets","139","502","582","133","75","21","3","34","81","87","72","96","3","3",".265",".352",".522",".874","3.6","1001168"
"2019","J.D. Davis","Mets","140","410","453","126","81","22","1","22","65","57","38","97","3","0",".307",".369",".527",".895","2.4","16219"
"1948","Dixie Walker","Pirates","129","408","465","129","105","19","3","2","39","54","52","18","1","",".316",".393",".392",".786","1.6","1013512"
"1951","Sam Jethroe","Braves","148","572","644","160","103","29","10","18","101","65","57","88","35","5",".280",".356",".460",".816","4.0","1006407"
"2012","Ryan Ludwick","Reds","125","422","472","116","61","28","1","26","53","80","42","97","0","1",".275",".346",".531",".877","2.6","1260"
"1952","Bill Serena","Cubs","122","390","435","107","66","21","5","15","49","61","39","83","1","0",".274",".345",".469",".814","2.6","1011752"
"2002","Adam Dunn","Reds","158","535","676","133","77","28","2","26","84","71","128","170","19","9",".249",".400",".454",".854","4.1","319"
"1995","Dave Magadan","Astros","127","348","422","109","83","24","0","2","44","51","71","56","2","1",".313",".428",".399",".827","1.9","1007961"
"1960","Joe Adcock","Braves","138","514","570","153","103","21","4","25","55","91","46","86","2","2",".298",".354",".500",".854","4.0","1000067"
"1992","Bip Roberts","Reds","147","532","601","172","128","34","6","4","92","45","62","54","44","16",".323",".393",".432",".826","4.8","1011023"
"1969","Johnny Bench","Reds","148","532","592","156","106","23","1","26","83","90","49","86","6","6",".293",".353",".487",".840","5.3","1000826"
"2006","Carlos Lee","Brewers","102","388","435","111","65","18","0","28","60","81","38","39","12","2",".286",".347",".549",".896","1.5","243"
"1992","Will Clark","Giants","144","513","601","154","97","40","1","16","69","73","73","82","12","7",".300",".384",".476",".860","3.7","1002318"
"2008","Troy Glaus","Cardinals","151","544","637","147","86","33","1","27","69","99","87","104","0","1",".270",".372",".483",".856","4.8","15"
"1979","Ken Griffey","Reds","95","380","420","120","81","27","4","8","62","32","36","39","12","5",".316",".374",".471",".845","2.7","1005044"
"1963","Billy Williams","Cubs","161","612","687","175","105","36","9","25","87","95","68","78","7","6",".286",".358",".497",".854","5.9","1013975"
"1972","Tony Perez","Reds","136","515","576","146","85","33","7","21","64","90","55","121","4","2",".283",".349",".497",".846","4.5","1010188"
"1972","Lee May","Astros","148","592","647","168","106","31","2","29","87","98","52","145","3","1",".284",".343",".490",".833","3.0","1008303"
"1934","Gus Suhr","Pirates","151","573","650","162","100","36","13","13","67","103","66","52","4","",".283",".360",".459",".819","2.6","1012674"
"1963","Bill White","Cardinals","162","658","726","200","139","26","8","27","106","109","59","100","10","9",".304",".360",".491",".851","5.1","1013855"
"2006","Morgan Ensberg","Astros","127","387","495","91","50","17","1","23","67","58","101","96","1","4",".235",".396",".463",".858","3.8","556"
"1957","Hank Sauer","Giants","127","378","429","98","57","14","1","26","46","76","49","59","1","0",".259",".343",".508",".851","1.1","1011459"
"2001","Scott Rolen","Phillies","151","554","653","160","95","39","1","25","96","107","74","127","16","5",".289",".378",".498",".876","5.6","970"
"2014","Justin Morneau","Rockies","135","502","550","160","108","32","3","17","62","82","34","60","0","3",".319",".364",".496",".860","2.3","1737"
"2002","Steve Finley","Diamondbacks","150","505","577","145","92","24","4","25","82","89","65","73","16","4",".287",".370",".499",".869","4.2","54"
"1977","Bill Robinson","Pirates","137","507","544","154","95","32","1","26","74","104","25","92","12","6",".304",".337",".525",".862","2.3","1011054"
"2004","Brad Wilkerson","Expos","160","572","688","146","73","39","2","32","112","67","106","152","13","6",".255",".374",".498",".872","5.0","804"
"1965","Jimmy Wynn","Astros","157","564","663","155","96","30","7","22","90","73","84","126","43","4",".275",".371",".470",".841","6.4","1014313"
"1978","Gary Matthews","Braves","129","474","542","135","92","20","5","18","75","62","61","92","8","7",".285",".366",".462",".828","3.1","1008255"
"1996","Mark Grace","Cubs","142","547","616","181","132","39","1","9","88","75","62","41","2","3",".331",".396",".455",".851","3.9","56"
"1997","Moises Alou","Marlins","150","538","619","157","100","29","5","23","88","115","70","85","9","5",".292",".373",".493",".866","3.3","261"
"1976","John Milner","Mets","127","443","511","120","76","25","4","15","56","78","65","53","0","7",".271",".362",".447",".809","2.9","1008965"
"1952","Del Ennis","Phillies","151","592","644","171","111","30","10","20","90","107","47","65","6","4",".289",".341",".475",".816","3.3","1003786"
"1983","Lonnie Smith","Cardinals","130","492","547","158","114","31","5","8","83","45","41","55","43","18",".321",".381",".453",".834","3.9","1012176"
"2010","Corey Hart","Brewers","145","558","614","158","89","34","4","31","91","102","45","140","7","6",".283",".340",".525",".865","2.9","1945"
"2008","Geovany Soto","Cubs","141","494","563","141","81","35","2","23","66","86","62","121","0","1",".285",".364",".504",".868","3.0","3707"
"2001","Richie Sexson","Brewers","158","598","667","162","90","24","3","45","94","125","60","178","2","4",".271",".342",".547",".889","2.9","709"
"1970","Wes Parker","Dodgers","161","614","705","196","135","47","4","10","84","111","79","70","8","2",".319",".392",".458",".850","5.1","1010009"
"1993","Craig Biggio","Astros","155","610","707","175","108","41","5","21","98","64","77","93","15","17",".287",".373",".474",".847","4.7","549"
"1973","Joe Ferguson","Dodgers","136","487","585","128","77","26","0","25","84","88","87","81","1","1",".263",".369",".470",".839","4.9","1003990"
"2019","Max Muncy","Dodgers","141","487","589","122","64","22","1","35","101","98","90","149","4","1",".251",".374",".515",".889","4.8","13301"
"1939","Frank Demaree","Giants","150","560","643","170","130","27","2","11","68","79","66","40","2","",".304",".381",".418",".799","2.9","1003190"
"1941","Babe Young","Giants","152","574","649","152","94","28","5","25","90","104","66","39","1","",".265",".346",".462",".807","2.5","1014363"
"1978","Jose Cruz","Astros","153","565","627","178","125","34","9","10","79","83","57","57","37","9",".315",".376",".460",".836","4.8","1002841"
"1952","Roy Campanella","Dodgers","128","468","533","126","85","18","1","22","73","97","57","59","8","4",".269",".352",".453",".805","4.2","1001871"
"1984","Jeffrey Leonard","Giants","136","514","566","155","105","27","2","21","76","86","47","123","17","7",".302",".357",".484",".841","3.3","1007535"
"2005","Matt Holliday","Rockies","125","479","526","147","97","24","7","19","68","87","36","79","14","3",".307",".361",".505",".866","2.6","1873"
"1984","Claudell Washington","Braves","120","416","479","119","79","21","2","17","62","61","59","77","21","9",".286",".374",".469",".842","2.6","1013654"
"2015","Matt Carpenter","Cardinals","154","574","665","156","81","44","3","28","101","84","81","151","4","3",".272",".365",".505",".871","5.3","8090"
"1993","Barry Larkin","Reds","100","384","440","121","90","20","3","8","57","51","51","33","14","1",".315",".394",".445",".839","3.5","335"
"1949","Whitey Lockman","Giants","151","617","685","186","136","32","7","11","97","65","62","31","12","",".301",".368",".429",".798","3.5","1007694"
"1984","Tim Raines","Expos","160","622","718","192","137","38","9","8","106","60","87","69","75","10",".309",".393",".437",".830","6.7","1406"
"1986","Darryl Strawberry","Mets","136","475","562","123","64","27","5","27","76","93","72","141","28","12",".259",".358",".507",".865","3.4","1012606"
"1980","Andre Dawson","Expos","151","577","638","178","113","41","7","17","96","87","44","69","34","9",".308",".358",".492",".850","6.0","1003091"
"1999","Tony Gwynn","Padres","111","411","446","139","102","27","0","10","59","62","29","14","7","2",".338",".381",".477",".858","2.1","1005166"
"1979","Davey Lopes","Dodgers","153","582","692","154","100","20","6","28","109","73","97","88","44","4",".265",".372",".464",".836","4.6","1007750"
"2016","Corey Seager","Dodgers","157","627","687","193","122","40","5","26","105","72","54","133","3","3",".308",".365",".512",".877","6.9","13624"
"1946","Pete Reiser","Dodgers","122","423","482","117","80","21","5","11","75","73","55","58","34","",".277",".361",".428",".789","3.7","1010814"
"1988","Andy Van Slyke","Pirates","154","587","660","169","106","23","15","25","101","100","57","126","30","9",".288",".345",".506",".851","6.4","1013363"
"1977","Willie McCovey","Giants","141","478","548","134","85","21","0","28","54","86","67","106","3","0",".280",".367",".500",".867","2.1","1008423"
"1938","Ernie Koy","Dodgers","142","521","574","156","103","29","13","11","78","76","38","76","15","",".299",".352",".468",".820","2.6","1007129"
"1931","Gabby Hartnett","Cubs","116","380","438","107","66","32","1","8","53","70","52","48","3","",".282",".370",".434",".804","2.7","1005458"
"1976","Dave Parker","Pirates","138","537","573","168","117","28","10","13","82","90","30","80","19","7",".313",".349",".475",".824","3.6","1010000"
"1996","Matt Williams","Giants","105","404","455","122","83","16","1","22","69","85","39","91","1","2",".302",".367",".510",".877","2.6","77"
"1956","Gus Bell","Redlegs","150","603","666","176","112","31","4","29","82","84","50","66","6","2",".292",".347",".501",".848","1.4","1000809"
"2017","Domingo Santana","Brewers","151","525","607","146","87","29","0","30","88","85","73","178","15","4",".278",".371",".505",".875","3.3","10348"
"1947","Phil Cavarretta","Cubs","127","459","522","144","115","22","5","2","56","63","58","35","2","",".314",".391",".397",".787","2.1","1002093"
"1998","Ellis Burks","- - -","142","504","582","147","92","28","6","21","76","76","58","111","11","8",".292",".365",".496",".861","1.6","372"
"1936","Ival Goodman","Reds","136","489","545","139","93","15","14","17","81","71","38","53","6","",".284",".347",".476",".823","2.7","1004857"
"1994","Bret Boone","Reds","108","381","424","122","83","25","2","12","59","68","24","74","3","4",".320",".368",".491",".858","1.5","1067"
"1986","Tony Gwynn","Padres","160","642","701","211","157","33","7","14","107","59","52","35","37","9",".329",".381",".467",".848","6.2","1005166"
"1985","Mike Marshall","Dodgers","135","518","564","152","95","27","2","28","72","95","37","137","3","10",".293",".342",".515",".857","3.1","1008145"
"1960","Wally Moon","Dodgers","138","469","547","140","100","21","6","13","74","69","67","53","6","10",".299",".383",".452",".835","3.7","1009085"
"1992","Brett Butler","Dodgers","157","553","676","171","143","14","11","3","86","39","95","67","41","21",".309",".413",".391",".803","4.6","1001772"
"1993","Ron Gant","Braves","157","606","682","166","99","27","4","36","113","117","67","117","26","9",".274",".345",".510",".854","5.7","1032"
"1953","Frank Thomas","Pirates","128","455","510","116","63","22","1","30","68","102","50","93","1","2",".255",".331",".505",".837","2.1","1012976"
"2002","Richie Sexson","Brewers","157","570","652","159","91","37","2","29","86","102","70","136","0","0",".279",".363",".504",".867","2.9","709"
"1958","Ken Boyer","Cardinals","150","570","631","175","122","21","9","23","101","90","49","53","11","6",".307",".360",".496",".857","5.3","1001283"
"1999","Rondell White","Expos","138","539","588","168","114","26","6","22","83","64","32","85","10","6",".312",".359",".505",".863","3.1","856"
"1966","Ron Fairly","Dodgers","117","351","409","101","67","20","0","14","53","61","52","38","3","2",".288",".380",".464",".844","2.0","1003907"
"2001","Jeff Kent","Giants","159","607","696","181","104","49","6","22","84","106","65","96","7","6",".298",".369",".507",".877","4.9","1119"
"2015","Justin Turner","Dodgers","126","385","439","113","70","26","1","16","55","60","36","71","5","2",".294",".370",".491",".861","3.9","5235"
"1931","Tony Cuccinello","Reds","154","575","639","181","129","39","11","2","67","93","54","28","1","",".315",".374",".431",".805","4.6","1002848"
"2010","Buster Posey","Giants","108","406","443","124","81","23","2","18","58","67","30","55","0","2",".305",".357",".505",".862","4.0","9166"
"2008","Prince Fielder","Brewers","159","588","694","162","96","30","2","34","86","102","84","134","3","2",".276",".372",".507",".879","1.3","4613"
"2009","Andre Ethier","Dodgers","160","596","685","162","86","42","3","31","92","106","72","116","6","4",".272",".361",".508",".869","2.2","6265"
"2007","Carlos Lee","Astros","162","627","697","190","114","43","1","32","93","119","53","63","10","5",".303",".354",".528",".882","2.6","243"
"1987","Andy Van Slyke","Pirates","157","564","632","165","97","36","11","21","93","82","56","122","34","8",".293",".359",".507",".866","5.1","1013363"
"1931","Pepper Martin","Cardinals","123","413","449","124","77","32","8","7","68","75","30","40","16","",".300",".351",".467",".818","2.3","1008189"
"1986","Gary Matthews","Cubs","123","370","432","96","58","16","1","21","49","46","60","59","3","2",".259",".361",".478",".839","0.2","1008255"
"1969","Bobby Bonds","Giants","158","622","720","161","98","25","6","32","120","90","81","187","45","4",".259",".351",".473",".824","6.2","1001157"
"2003","Mike Lowell","Marlins","130","492","557","136","76","27","1","32","76","105","56","78","3","1",".276",".350",".530",".881","4.1","527"
"1964","Ken Boyer","Cardinals","162","628","704","185","121","30","10","24","100","119","70","85","3","5",".295",".365",".489",".854","6.0","1001283"
"1990","Andy Van Slyke","Pirates","136","493","569","140","91","26","6","17","67","77","66","89","14","4",".284",".367",".465",".832","4.4","1013363"
"1935","Sam Leslie","Dodgers","142","520","581","160","118","30","7","5","72","93","55","19","4","",".308",".379",".421",".800","2.6","1007559"
"1937","Gene Moore","Bees","148","561","631","159","104","29","10","16","88","70","61","73","11","",".283",".358",".456",".814","5.2","1009110"
"1993","Jay Bell","Pirates","154","604","701","187","137","32","9","9","102","51","77","122","16","10",".310",".392",".437",".830","6.6","48"
"1963","Frank Howard","Dodgers","123","417","459","114","69","16","1","28","58","64","33","116","1","2",".273",".330",".518",".848","3.6","1006080"
"2016","Jean Segura","Diamondbacks","153","637","694","203","135","41","7","20","102","64","39","101","33","10",".319",".368",".499",".867","5.0","5933"
"2015","Nolan Arenado","Rockies","157","616","665","177","88","43","4","42","97","130","34","110","2","5",".287",".323",".575",".898","4.5","9777"
"1951","Eddie Stanky","Giants","145","515","653","127","94","17","2","14","88","43","127","63","8","5",".247",".401",".369",".770","5.0","1012406"
"2019","Bryan Reynolds","Pirates","134","491","546","154","97","37","4","16","83","68","46","121","3","2",".314",".377",".503",".880","3.2","19326"
"1997","Scott Rolen","Phillies","156","561","657","159","100","35","3","21","93","92","76","138","16","6",".283",".377",".469",".846","4.2","970"
"1933","Bill Terry","Giants","123","475","524","153","122","20","5","6","68","58","40","23","3","",".322",".375",".423",".798","3.8","1012927"
"1942","Dixie Walker","Dodgers","118","393","451","114","79","28","1","6","57","54","47","15","1","",".290",".367",".412",".780","2.7","1013512"
"1977","Bob Watson","Astros","151","554","623","160","94","38","6","22","77","110","57","69","5","0",".289",".360",".498",".858","4.8","1013677"
"1989","Von Hayes","Phillies","154","540","652","140","85","27","2","26","93","78","101","103","28","7",".259",".376",".461",".837","4.9","1005531"
"2007","Jimmy Rollins","Phillies","162","716","778","212","124","38","20","30","139","94","49","85","41","6",".296",".344",".531",".875","6.5","971"
"1933","Lefty O'Doul","- - -","121","388","436","110","80","14","2","14","45","56","44","23","3","",".284",".361",".438",".799","2.7","1009734"
"2015","A.J. Pollock","Diamondbacks","157","609","673","192","127","39","6","20","111","76","53","89","39","7",".315",".367",".498",".865","6.8","9256"
"1984","Jose Cruz","Astros","160","600","685","187","134","28","13","12","96","95","73","68","22","8",".312",".381",".462",".842","5.6","1002841"
"2014","Buster Posey","Giants","147","547","605","170","118","28","2","22","72","89","47","69","0","1",".311",".364",".490",".854","7.6","9166"
"1975","Steve Garvey","Dodgers","160","659","704","210","148","38","6","18","85","95","33","66","11","2",".319",".351",".476",".827","4.8","1004557"
"2015","Kris Bryant","Cubs","151","559","650","154","92","31","5","26","87","99","77","199","13","4",".275",".369",".488",".858","6.1","15429"
"1970","Denis Menke","Astros","154","562","665","171","126","26","6","13","82","92","82","80","6","5",".304",".392",".441",".833","3.6","1008766"
"1979","Ted Simmons","Cardinals","123","448","521","127","79","22","0","26","68","87","61","34","0","1",".283",".369",".507",".875","3.9","1011986"
"2002","Edgardo Alfonzo","Mets","135","490","562","151","109","26","0","16","78","56","62","55","6","0",".308",".391",".459",".851","5.3","859"
"1966","Jim Ray Hart","Giants","156","578","636","165","105","23","4","33","88","93","48","75","2","5",".285",".342",".510",".853","6.1","1005448"
"1992","Barry Larkin","Reds","140","533","609","162","112","32","6","12","76","78","63","58","15","4",".304",".377",".454",".831","5.3","335"
"1935","Danny Taylor","Dodgers","112","352","404","102","71","19","5","7","51","59","46","32","6","",".290",".372",".432",".804","1.8","1012865"
"1998","Derek Bell","Astros","156","630","695","198","133","41","2","22","111","108","51","126","13","3",".314",".364",".490",".855","5.7","1000801"
"2004","Lyle Overbay","Brewers","159","579","668","174","104","53","1","16","83","87","81","128","2","1",".301",".385",".478",".863","2.2","1617"
"2013","Bryce Harper","Nationals","118","424","497","116","69","24","3","20","71","58","61","94","11","4",".274",".368",".486",".854","4.1","11579"
"1961","Don Hoak","Pirates","145","503","586","150","104","27","7","12","72","61","73","53","4","2",".298",".388",".451",".839","3.1","1005866"
"1994","Tim Wallach","Dodgers","113","414","466","116","71","21","1","23","68","78","46","80","0","2",".280",".356",".502",".859","2.4","1013554"
"1937","Don Padgett","Cardinals","123","446","477","140","102","22","6","10","62","74","30","43","4","",".314",".357",".457",".815","1.9","1009945"
"1952","Bobby Thomson","Giants","153","608","666","164","97","29","14","24","89","108","52","74","5","2",".270",".331",".482",".813","4.3","1013032"
"1991","Jeff Bagwell","Astros","156","554","650","163","118","26","4","15","79","82","75","116","7","4",".294",".387",".437",".824","4.3","547"
"2004","Mike Lowell","Marlins","158","598","671","175","103","44","1","27","87","85","64","77","5","1",".293",".365",".505",".870","4.0","527"
"1953","Richie Ashburn","Phillies","156","622","702","205","169","25","9","2","110","57","61","35","14","6",".330",".394",".408",".802","5.4","1000335"
"1962","Ken Boyer","Cardinals","160","611","691","178","122","27","5","24","92","98","75","104","12","7",".291",".369",".470",".838","5.2","1001283"
"1972","Roberto Clemente","Pirates","102","378","413","118","82","19","7","10","68","60","29","49","0","0",".312",".356",".479",".835","4.0","1002340"
"1996","Sammy Sosa","Cubs","124","498","541","136","73","21","2","40","84","100","34","134","18","5",".273",".323",".564",".888","5.5","302"
"2003","Jay Payton","Rockies","157","600","658","181","116","32","5","28","93","89","43","77","6","4",".302",".354",".512",".865","1.2","890"
"1991","Kevin Mitchell","Giants","113","371","423","95","54","13","1","27","52","69","43","57","2","3",".256",".338",".515",".853","2.1","1009004"
"1980","Gene Tenace","Padres","133","316","416","70","41","11","1","17","46","50","92","63","4","4",".222",".399",".424",".823","3.9","1012911"
"2003","Brad Wilkerson","Expos","146","504","602","135","78","34","4","19","78","77","89","155","13","10",".268",".380",".464",".844","3.9","804"
"1965","Deron Johnson","Reds","159","616","680","177","108","30","7","32","92","130","52","97","0","4",".287",".340",".515",".854","4.3","1006444"
"2014","Russell Martin","Pirates","111","379","460","110","79","20","0","11","45","67","59","78","4","4",".290",".402",".430",".832","6.2","4616"
"1941","Babe Dahlgren","- - -","143","525","586","140","87","28","2","23","70","89","59","52","2","",".267",".343",".459",".802","2.7","1002925"
