"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","WAR","playerid"
"1994","Ken Griffey Jr.","Mariners","111","433","493","140","72","24","4","40","94","90","56","73","11","3",".323",".402",".674","1.076","6.8","327"
"1977","Rod Carew","Twins","155","616","694","239","171","38","16","14","128","100","69","55","23","13",".388",".449",".570","1.019","8.6","1001942"
"1938","Harlond Clift","Browns","149","534","658","155","89","25","7","34","119","118","118","67","10","5",".290",".423",".554",".977","6.1","1002352"
"2002","Jason Giambi","Yankees","155","560","689","176","100","34","1","41","120","122","109","112","2","2",".314",".435",".598","1.034","6.6","818"
"1938","Bill Dickey","Yankees","132","454","532","142","84","27","4","27","84","115","75","22","3","0",".313",".412",".568",".981","5.5","1003271"
"1958","Rocky Colavito","Indians","143","489","578","148","78","26","3","41","80","113","84","89","0","2",".303",".405",".620","1.024","6.6","1002404"
"1934","Earl Averill","Indians","154","598","702","187","102","48","6","31","128","113","99","44","5","3",".313",".414",".569",".982","6.7","1000378"
"1932","Dale Alexander","- - -","124","392","454","144","106","27","3","8","58","60","61","21","4","5",".367",".454",".513",".966","4.0","1000121"
"1931","Earl Averill","Indians","155","627","701","209","131","36","10","32","140","143","68","38","9","9",".333",".404",".576",".979","6.1","1000378"
"2009","Joe Mauer","Twins","138","523","606","191","132","30","1","28","94","96","76","63","4","1",".365",".444",".587","1.031","8.4","1857"
"2007","Magglio Ordonez","Tigers","157","595","679","216","134","54","0","28","117","139","76","79","4","1",".363",".434",".595","1.029","8.0","248"
"2011","Miguel Cabrera","Tigers","161","572","688","197","119","48","0","30","111","105","108","89","2","1",".344",".448",".586","1.033","6.6","1744"
"1938","Joe Cronin","Red Sox","143","530","637","172","99","51","5","17","98","94","91","60","7","5",".325",".428",".536",".964","6.7","1002796"
"1938","Earl Averill","Indians","134","482","567","159","103","27","15","14","101","93","81","48","5","2",".330",".429",".535",".965","5.1","1000378"
"1939","Charlie Gehringer","Tigers","118","406","486","132","81","29","6","16","86","86","68","16","4","3",".325",".423",".544",".967","4.8","1004596"
"2017","Mike Trout","Angels","114","402","507","123","62","25","3","33","92","72","94","90","22","4",".306",".442",".629","1.071","6.8","10155"
"1934","Hal Trosky","Indians","154","625","685","206","117","45","9","35","117","142","58","49","2","2",".330",".388",".598",".987","5.4","1013190"
"1998","Albert Belle","White Sox","163","609","706","200","101","48","2","49","113","152","81","84","6","4",".328",".399",".655","1.055","7.1","1000802"
"1999","Rafael Palmeiro","Rangers","158","565","674","183","105","30","1","47","96","148","97","69","2","4",".324",".420",".630","1.050","5.4","1266"
"2019","Mike Trout","Angels","134","470","600","137","63","27","2","45","110","104","110","120","11","2",".291",".438",".645","1.083","8.6","10155"
