"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","WAR","playerid"
"1935","Ben Chapman","Yankees","140","553","629","160","106","38","8","8","118","74","61","39","17","10",".289",".361",".430",".791","3.2","1002141"
"2017","Joey Gallo","Rangers","145","449","532","94","32","18","3","41","85","80","75","196","7","2",".209",".333",".537",".869","2.7","14128"
"1983","Larry Herndon","Tigers","153","603","658","182","125","28","9","20","88","92","46","95","9","3",".302",".351",".478",".829","3.7","1005717"
"1961","Tito Francona","Indians","155","592","667","178","124","30","8","16","87","85","56","52","2","1",".301",".363",".459",".823","3.5","1004293"
"1953","Dick Gernert","Red Sox","139","494","590","125","88","15","1","21","73","71","88","82","0","7",".253",".371",".415",".786","1.4","1004637"
"1944","Jim Tabor","Red Sox","116","438","482","125","84","25","3","13","58","72","31","38","4","4",".285",".334",".445",".779","2.8","1012808"
"1956","Harry Simpson","Athletics","141","543","597","159","105","22","11","21","76","105","47","82","2","3",".293",".347",".490",".837","1.0","1011995"
"2008","Brian Roberts","Orioles","155","611","704","181","113","51","8","9","107","57","82","104","40","10",".296",".378",".450",".828","4.8","166"
"1932","Dick Porter","Indians","146","621","700","191","137","42","8","4","106","60","64","43","2","4",".308",".373",".420",".793","1.4","1010451"
"2002","Eric Chavez","Athletics","153","585","653","161","93","31","3","34","87","109","65","119","8","3",".275",".348",".513",".860","5.7","906"
"2009","Nolan Reimold","Orioles","104","358","411","100","65","18","2","15","49","45","47","77","8","2",".279",".365",".466",".831","1.1","3441"
"1984","George Bell","Blue Jays","159","606","643","177","108","39","4","26","85","87","24","86","11","2",".292",".326",".498",".824","3.2","1000808"
"2002","Garret Anderson","Angels","158","638","678","195","107","56","3","29","93","123","30","80","6","4",".306",".332",".539",".871","3.7","2"
"2002","Carlos Beltran","Royals","162","637","722","174","94","44","7","29","114","105","71","135","35","7",".273",".346",".501",".847","5.4","589"
"1997","Jay Bell","Royals","153","573","660","167","115","28","3","21","89","92","71","101","10","6",".291",".368",".461",".829","5.4","48"
"1979","Dwight Evans","Red Sox","152","489","563","134","88","24","1","21","69","58","69","76","6","9",".274",".364",".456",".820","3.9","1003865"
"2010","Vladimir Guerrero","Rangers","152","593","643","178","121","27","1","29","83","115","35","60","4","5",".300",".345",".496",".841","1.1","778"
"1941","Bobby Doerr","Red Sox","132","500","549","141","93","28","4","16","74","93","43","43","1","3",".282",".339",".450",".789","2.1","1003355"
"2010","Vernon Wells","Blue Jays","157","590","646","161","83","44","3","31","79","88","50","84","6","4",".273",".331",".515",".847","3.7","1326"
"1996","Carlos Delgado","Blue Jays","138","488","563","132","77","28","2","25","68","92","58","139","0","0",".270",".353",".490",".843","1.6","1297"
"1983","Chet Lemon","Tigers","145","491","573","125","75","21","5","24","78","69","54","70","0","7",".255",".350",".464",".814","5.6","1007518"
"1991","Robin Ventura","White Sox","157","606","705","172","123","25","1","23","92","100","80","67","2","4",".284",".367",".442",".810","5.4","854"
"2018","Jose Altuve","Astros","137","534","599","169","125","29","2","13","84","61","55","79","17","4",".316",".386",".451",".837","4.9","5417"
"2003","Jason Varitek","Red Sox","142","451","521","123","66","31","1","25","63","85","51","106","3","2",".273",".351",".512",".863","3.8","217"
"1980","Carlton Fisk","Red Sox","131","478","530","138","92","25","3","18","73","62","36","62","11","5",".289",".353",".467",".819","3.8","1004101"
"1965","Don Mincher","Twins","128","346","403","87","45","17","3","22","43","65","49","73","1","3",".251",".344",".509",".853","2.3","1008973"
"1931","Charlie Gehringer","Tigers","101","383","414","119","86","24","5","4","67","53","29","15","13","4",".311",".359",".431",".790","1.5","1004596"
"1950","Jerry Priddy","Tigers","157","618","729","171","126","26","6","13","104","75","95","95","2","7",".277",".376",".401",".777","4.7","1010533"
"1948","George Kell","Tigers","92","368","414","112","83","24","3","2","47","44","33","15","2","2",".304",".369",".402",".772","1.2","1006783"
"1975","George Brett","Royals","159","634","697","195","136","35","13","11","84","90","46","48","13","10",".308",".353",".456",".809","5.4","1001400"
"2019","Tim Anderson","White Sox","123","498","518","167","117","32","0","18","81","56","15","109","17","5",".335",".357",".508",".865","3.5","15172"
"2009","Nelson Cruz","Rangers","128","462","515","120","65","21","1","33","75","76","49","118","20","4",".260",".332",".524",".856","3.0","2434"
"1985","Mike Davis","Athletics","154","547","604","157","98","34","1","24","92","82","50","99","24","10",".287",".348",".484",".832","4.9","1003070"
"1974","Elliott Maddox","Yankees","137","466","550","141","110","26","2","3","75","45","69","48","6","5",".303",".395",".386",".781","4.7","1007947"
"1999","Todd Zeile","Rangers","156","588","656","172","106","41","1","24","80","98","56","94","1","2",".293",".354",".488",".842","2.5","457"
"1955","Ray Boone","Tigers","135","500","560","142","93","22","7","20","61","116","50","49","1","1",".284",".346",".476",".822","3.7","1001189"
"1947","Dom DiMaggio","Red Sox","136","513","599","145","111","21","5","8","75","71","74","62","10","6",".283",".376",".390",".766","3.5","1003310"
"2002","Carlos Lee","White Sox","140","492","576","130","76","26","2","26","82","80","75","73","1","4",".264",".359",".484",".843","2.0","243"
"1998","Bobby Higginson","Tigers","157","612","686","174","108","37","4","25","92","85","63","101","3","3",".284",".355",".480",".835","2.3","469"
"1993","Mike Pagliarulo","- - -","116","370","405","112","74","25","4","9","55","44","26","49","6","6",".303",".357",".465",".822","2.4","1009959"
"2018","Nicholas Castellanos","Tigers","157","620","678","185","111","46","5","23","88","89","49","151","2","1",".298",".354",".500",".854","3.0","11737"
"1978","Don Money","Brewers","137","518","588","152","106","30","2","14","88","54","48","70","3","0",".293",".361",".440",".801","4.4","1009052"
"1962","Al Smith","White Sox","142","511","575","149","102","23","8","16","62","82","57","60","3","3",".292",".363",".462",".825","2.8","1012090"
"1949","Stan Spence","- - -","111","334","402","80","50","14","3","13","49","46","58","37","1","1",".240",".355",".416",".771","0.4","1012328"
"1959","Charlie Maxwell","Tigers","145","518","611","130","85","12","2","31","81","95","81","91","0","2",".251",".357",".461",".819","3.1","1008287"
"1965","Willie Horton","Tigers","143","512","572","140","89","20","2","29","69","104","48","101","5","9",".273",".340",".490",".831","3.1","1006038"
"1948","Pat Seerey","- - -","105","363","434","84","54","11","0","19","51","70","68","102","0","0",".231",".353",".419",".771","1.3","1011720"
"1983","Andre Thornton","Indians","141","508","605","143","98","27","1","17","78","77","87","72","4","2",".281",".383",".439",".822","2.1","1013037"
"1984","Dave Collins","Blue Jays","128","441","492","136","95","24","15","2","59","44","33","41","60","14",".308",".366",".444",".811","3.0","1002449"
"2012","Nick Swisher","Yankees","148","537","624","146","86","36","0","24","75","93","77","141","2","3",".272",".364",".473",".837","3.6","4599"
"2009","Paul Konerko","White Sox","152","546","621","151","92","30","1","28","75","88","58","89","1","0",".277",".353",".489",".842","1.8","242"
"1980","Hal McRae","Royals","124","489","532","145","87","39","5","14","73","83","29","56","10","2",".297",".342",".483",".825","2.1","1008687"
"1983","Fred Lynn","Angels","117","437","500","119","74","20","3","22","56","74","55","83","2","2",".272",".352",".483",".835","1.7","1007872"
"1970","George Scott","Red Sox","127","480","530","142","97","24","5","16","50","63","44","95","4","11",".296",".355",".467",".821","2.0","1011682"
"1986","Rob Deer","Brewers","134","466","546","108","55","17","3","33","75","86","72","179","5","2",".232",".336",".494",".830","1.5","1003137"
"2009","Bobby Abreu","Angels","152","563","667","165","118","29","3","15","96","103","94","113","30","8",".293",".390",".435",".825","2.7","945"
"1937","Myril Hoag","Yankees","106","362","404","109","79","19","8","3","48","46","33","33","4","7",".301",".364",".423",".787","0.9","1005865"
"2016","Kyle Seager","Mariners","158","597","676","166","97","36","3","30","89","99","69","108","3","1",".278",".359",".499",".859","5.2","9785"
"2004","Hank Blalock","Rangers","159","624","713","172","99","38","3","32","107","110","75","149","2","2",".276",".355",".500",".855","4.1","1419"
"1986","Mel Hall","Indians","140","442","480","131","82","29","2","18","68","77","33","65","6","2",".296",".346",".493",".839","1.6","1005259"
"2017","Logan Morrison","Rays","149","512","601","126","65","22","1","38","75","85","81","149","2","0",".246",".353",".516",".868","3.2","9205"
"1993","Cecil Fielder","Tigers","154","573","672","153","100","23","0","30","80","117","90","125","0","1",".267",".368",".464",".832","1.3","1004026"
"2014","Jose Altuve","Astros","158","660","707","225","168","47","3","7","85","59","36","53","56","9",".341",".377",".453",".830","5.2","5417"
"1956","Al Smith","Indians","141","526","626","144","97","26","5","16","87","71","84","72","6","3",".274",".378",".433",".812","2.1","1012090"
"1980","Lance Parrish","Tigers","144","553","592","158","94","34","6","24","79","82","31","109","6","4",".286",".325",".499",".825","3.9","1010021"
"2008","Denard Span","Twins","93","347","411","102","73","16","7","6","70","47","50","60","18","7",".294",".387",".432",".819","3.2","8347"
"1990","Harold Baines","- - -","135","415","489","118","86","15","1","16","52","65","67","80","0","3",".284",".378",".441",".819","1.4","1000434"
"1960","Pete Runnels","Red Sox","143","528","613","169","136","29","2","2","80","35","71","51","5","2",".320",".401",".394",".795","4.3","1011303"
"1940","Ben Chapman","Indians","143","548","631","157","107","40","6","4","82","50","78","45","13","7",".286",".377",".403",".781","3.0","1002141"
"1980","John Mayberry","Blue Jays","149","501","588","124","73","19","2","30","62","82","77","80","0","0",".248",".349",".473",".822","1.7","1008289"
"1932","Gee Walker","Tigers","127","480","501","155","109","32","6","8","71","78","13","38","30","6",".323",".345",".465",".809","2.2","1013519"
"1980","Miguel Dilone","Indians","132","528","566","180","141","30","9","0","82","40","28","45","61","18",".341",".375",".432",".807","2.9","1003309"
"1984","Dwayne Murphy","Athletics","153","559","647","143","90","18","2","33","93","88","74","111","4","5",".256",".342",".472",".814","4.2","1009359"
"1957","Rocky Colavito","Indians","134","461","544","116","65","26","0","25","66","84","71","80","1","6",".252",".348",".471",".819","3.5","1002404"
"1950","Paul Lehner","Athletics","114","427","467","132","101","17","5","9","48","52","32","33","1","1",".309",".357",".436",".793","1.2","1007487"
"2007","Nick Swisher","Athletics","150","539","659","141","82","36","1","22","84","78","100","131","3","2",".262",".381",".455",".836","4.0","4599"
"1991","Tony Phillips","Tigers","146","564","655","160","111","28","4","17","87","72","79","95","10","5",".284",".371",".438",".809","4.8","1010300"
"2004","Jose Guillen","Angels","148","565","621","166","108","28","3","27","88","104","37","92","5","4",".294",".352",".497",".849","2.7","57"
"1972","Johnny Briggs","Brewers","135","418","481","111","75","14","1","21","58","65","54","67","1","2",".266",".347",".455",".801","3.2","1001429"
"1999","Joe Randa","Royals","156","628","689","197","137","36","8","16","92","84","50","80","5","4",".314",".363",".473",".836","2.4","623"
"1997","Brian Giles","Indians","130","377","451","101","66","15","3","17","62","61","63","50","13","3",".268",".368",".459",".827","2.1","990"
"1938","Sam West","- - -","136","509","567","155","115","27","7","6","68","74","47","30","2","1",".305",".363",".420",".784","1.3","1013813"
"2001","Paul Konerko","White Sox","156","582","650","164","97","35","0","32","92","99","54","89","1","0",".282",".349",".507",".856","2.3","242"
"2019","Edwin Encarnacion","- - -","109","418","486","102","50","18","0","34","81","86","58","103","0","1",".244",".344",".531",".875","2.5","2151"
"1992","Robin Ventura","White Sox","157","592","694","167","112","38","1","16","85","93","93","71","2","4",".282",".375",".431",".806","6.1","854"
"2006","Raul Ibanez","Mariners","159","626","699","181","110","33","5","33","103","123","65","115","2","4",".289",".353",".516",".869","3.4","607"
"1935","Jimmie Dykes","White Sox","117","403","473","116","86","24","2","4","45","61","59","28","4","3",".288",".381",".387",".769","1.8","1003617"
"1955","Yogi Berra","Yankees","147","541","615","147","97","20","3","27","84","108","60","20","1","0",".272",".349",".470",".819","5.2","1000898"
"1987","Julio Franco","Indians","128","495","560","158","123","24","3","8","86","52","57","56","32","9",".319",".389",".428",".818","3.1","87"
"2002","Ray Durham","- - -","150","564","659","163","108","34","6","15","114","70","73","93","26","7",".289",".374",".450",".825","3.5","230"
"1998","Shawn Green","Blue Jays","158","630","689","175","103","33","4","35","106","100","50","142","35","12",".278",".334",".510",".844","3.4","651"
"1958","Gene Woodling","Orioles","133","413","485","114","82","16","1","15","57","65","66","49","4","2",".276",".378",".429",".806","2.2","1014228"
"1980","Paul Molitor","Brewers","111","450","512","137","97","29","2","9","81","37","48","48","34","7",".304",".372",".438",".809","3.7","1009040"
"2001","Shannon Stewart","Blue Jays","155","640","698","202","139","44","7","12","103","60","46","72","27","10",".316",".371",".463",".834","3.6","1322"
"1986","Kent Hrbek","Twins","149","550","634","147","90","27","1","29","85","91","71","81","2","2",".267",".353",".478",".831","2.7","1006117"
"1961","Bob Allison","Twins","159","556","677","136","83","21","3","29","83","105","103","100","2","7",".245",".363",".450",".813","2.7","1000166"
"1940","George McQuinn","Browns","151","594","659","166","101","39","10","16","78","84","57","58","3","3",".279",".343",".460",".802","1.7","1008683"
"2007","Ichiro Suzuki","Mariners","161","678","736","238","203","22","7","6","111","68","49","77","37","8",".351",".396",".431",".827","6.1","1101"
"1953","Dale Mitchell","Indians","134","500","542","150","107","26","4","13","76","60","42","20","3","1",".300",".354",".446",".800","2.5","1009000"
"1979","Lamar Johnson","White Sox","133","479","526","148","106","29","1","12","60","74","41","56","8","2",".309",".363",".449",".812","2.1","1006481"
"1944","Pete Fox","Red Sox","121","496","535","156","112","37","6","1","70","64","27","34","10","5",".315",".354",".419",".773","2.3","1004283"
"2001","Tony Clark","Tigers","126","428","497","123","75","29","3","16","67","75","62","108","0","1",".287",".374",".481",".856","1.7","182"
"1936","Moose Solters","Browns","152","628","676","183","114","45","7","17","100","134","41","76","3","0",".291",".336",".467",".802","1.1","1012270"
"2007","Travis Hafner","Indians","152","545","661","145","94","25","2","24","80","100","102","115","1","1",".266",".385",".451",".837","2.2","1573"
"2017","Brian Dozier","Twins","152","617","705","167","99","30","4","34","106","93","78","141","16","7",".271",".359",".498",".856","5.1","9810"
"1975","Hal McRae","Royals","126","480","547","147","98","38","6","5","58","71","47","47","11","8",".306",".366",".442",".808","2.0","1008687"
"1996","Jason Giambi","Athletics","140","536","598","156","95","40","1","20","84","79","51","95","0","1",".291",".355",".481",".836","1.2","818"
"2000","Jose Canseco","- - -","98","329","401","83","50","18","0","15","47","49","64","102","2","0",".252",".377",".444",".820","0.9","1001918"
"1948","Stan Spence","Red Sox","114","391","477","92","59","17","4","12","71","61","82","33","0","2",".235",".368",".391",".759","1.1","1012328"
"1945","Milt Byrnes","Browns","133","442","540","110","69","29","4","8","53","59","78","84","1","3",".249",".363",".387",".750","3.1","1001800"
"1982","Steve Kemp","White Sox","160","580","679","166","123","23","1","19","91","98","89","83","7","7",".286",".381",".428",".808","1.9","1006827"
"1950","Gil Coan","Senators","104","366","403","111","83","17","4","7","58","50","28","46","10","5",".303",".359",".429",".788","1.0","1002373"
"1932","Willie Kamm","Indians","148","524","615","150","104","34","9","3","76","83","75","36","6","3",".286",".379",".403",".781","3.1","1006683"
"2004","Lew Ford","Twins","154","569","658","170","120","31","4","15","89","72","67","75","20","2",".299",".381",".446",".827","3.4","1724"
"1987","Tom Brunansky","Twins","155","532","614","138","82","22","2","32","83","85","74","104","11","11",".259",".352",".489",".841","2.3","1001589"
"1970","Jim Fregosi","Angels","158","601","679","167","107","33","5","22","95","82","69","92","0","2",".278",".353",".459",".812","6.8","1004330"
"1976","Carl Yastrzemski","Red Sox","155","546","636","146","100","23","2","21","71","102","80","67","5","6",".267",".357",".432",".790","3.3","1014326"
"1996","Tony Phillips","White Sox","153","581","719","161","117","29","3","12","119","63","125","132","13","8",".277",".404",".399",".803","3.3","1010300"
"2007","Robinson Cano","Yankees","160","617","669","189","122","41","7","19","93","97","39","85","4","5",".306",".353",".488",".841","4.7","3269"
"1996","Tino Martinez","Yankees","155","595","671","174","121","28","0","25","82","117","68","85","2","1",".292",".364",".466",".830","2.4","1168"
"1935","Jake Powell","Senators","139","551","604","172","130","26","10","6","88","98","37","37","15","7",".312",".360",".428",".788","1.6","1010489"
"2006","Johnny Damon","Yankees","149","593","671","169","105","35","5","24","115","80","67","85","25","10",".285",".359",".482",".841","3.6","185"
"1935","Cecil Travis","Senators","138","534","590","170","135","27","8","0","85","61","41","28","4","2",".318",".377",".399",".776","3.1","1013162"
"1959","Roger Maris","Athletics","122","433","498","118","74","21","7","16","69","72","58","53","2","1",".273",".359",".464",".824","2.6","1008110"
"1931","Tony Lazzeri","Yankees","135","484","568","129","87","27","7","8","67","83","79","80","18","9",".267",".371",".401",".771","3.1","1007422"
"1976","Mike Hargrove","Rangers","151","541","654","155","117","30","1","7","80","58","97","64","2","3",".287",".397",".384",".781","2.9","1005361"
"1994","Chris Hoiles","Orioles","99","332","406","82","53","10","0","19","45","53","63","73","2","0",".247",".371",".449",".820","3.3","1005935"
"1988","Rickey Henderson","Yankees","140","554","647","169","131","30","2","6","118","50","82","54","93","13",".305",".394",".399",".793","5.5","194"
"2014","Danny Santana","Twins","101","405","430","129","88","27","7","7","70","40","19","98","20","4",".319",".353",".472",".824","3.9","10322"
"2011","Alex Rodriguez","Yankees","99","373","428","103","66","21","0","16","67","62","47","80","4","1",".276",".362",".461",".823","4.0","1274"
"1998","David Justice","Indians","146","540","625","151","89","39","2","21","94","88","76","98","9","3",".280",".363",".476",".839","1.7","923"
"2002","Jorge Posada","Yankees","143","511","598","137","76","40","1","20","79","99","81","143","1","0",".268",".370",".468",".837","4.2","841"
"2002","Frank Thomas","White Sox","148","523","628","132","74","29","1","28","77","92","88","115","3","0",".252",".361",".472",".834","1.4","255"
"1942","Lou Boudreau","Indians","147","506","604","143","113","18","10","2","57","58","75","39","7","16",".283",".379",".370",".749","4.7","1001234"
"1962","Ed Charles","Athletics","147","535","604","154","106","24","7","17","81","74","54","70","20","4",".288",".356",".454",".811","4.1","1002158"
"2013","Jason Castro","Astros","120","435","491","120","66","35","1","18","63","56","50","130","2","1",".276",".350",".485",".835","3.9","8722"
"1933","Dib Williams","Athletics","115","408","444","118","82","20","5","11","52","73","32","35","1","0",".289",".342",".444",".786","0.7","1013990"
"1991","Dave Henderson","Athletics","150","572","637","158","100","33","0","25","86","85","58","113","6","6",".276",".346",".465",".811","4.9","1005630"
"1931","Heinie Manush","Senators","146","616","666","189","131","41","11","6","110","70","36","27","3","3",".307",".351",".438",".789","1.9","1008089"
"1999","Marty Cordova","Twins","124","425","488","121","76","28","3","14","62","70","48","96","13","4",".285",".365",".464",".828","0.9","132"
"2012","Alex Rios","White Sox","157","605","640","184","114","37","8","25","93","91","26","92","23","6",".304",".334",".516",".850","4.0","2090"
"1999","B.J. Surhoff","Orioles","162","673","727","207","140","38","1","28","104","107","43","78","5","1",".308",".347",".492",".839","4.6","117"
"1974","Gene Tenace","Athletics","158","484","612","102","58","17","1","26","71","73","110","105","2","9",".211",".367",".411",".778","4.5","1012911"
"1935","Bill Dickey","Yankees","120","448","491","125","79","26","6","14","54","81","35","11","1","1",".279",".339",".458",".797","2.5","1003271"
"2000","Trot Nixon","Red Sox","123","427","502","118","71","27","8","12","66","60","63","85","8","1",".276",".368",".461",".830","2.6","204"
"1995","Brady Anderson","Orioles","143","554","657","145","86","33","10","16","108","64","87","111","26","7",".262",".371",".444",".815","2.9","364"
"1962","Brooks Robinson","Orioles","162","634","697","192","131","29","9","23","77","86","42","70","3","1",".303",".342",".486",".828","6.3","1011055"
"1963","John Orsino","Orioles","116","379","430","103","65","18","1","19","53","56","38","53","2","3",".272",".349",".475",".824","3.6","1009851"
"2004","Casey Blake","Indians","152","587","668","159","92","36","3","28","93","88","68","139","5","8",".271",".354",".486",".839","3.4","719"
"2000","Raul Mondesi","Blue Jays","96","388","426","105","57","22","2","24","78","67","32","73","22","6",".271",".329",".523",".852","2.5","1314"
"1936","Jake Powell","- - -","140","538","595","161","121","24","8","8","102","78","51","51","26","11",".299",".362",".418",".780","1.1","1010489"
"1984","Bobby Grich","Angels","116","363","432","93","59","15","1","18","60","58","57","70","2","5",".256",".357",".452",".809","1.9","1005033"
"1983","Roy Smalley","Yankees","130","451","520","124","81","24","1","18","70","62","58","68","3","3",".275",".357",".452",".810","2.9","1012078"
"1993","Kent Hrbek","Twins","123","392","471","95","58","11","1","25","60","83","71","57","4","2",".242",".357",".467",".824","2.3","1006117"
"1988","Brian Downing","Angels","135","484","590","117","72","18","2","25","80","64","81","63","3","4",".242",".362",".442",".805","2.5","1003451"
"1997","Troy O'Leary","Red Sox","146","499","545","154","103","32","4","15","65","80","39","70","0","5",".309",".358",".479",".837","1.7","789"
"2000","Eric Chavez","Athletics","153","501","569","139","86","23","4","26","89","86","62","94","2","2",".277",".355",".495",".850","2.0","906"
"1996","Chris Hoiles","Orioles","127","407","481","105","67","13","0","25","64","73","57","97","0","1",".258",".356",".474",".830","2.5","1005935"
"1973","Bill Melton","White Sox","152","560","642","155","105","29","1","20","83","87","75","66","4","4",".277",".363",".439",".802","4.1","1008754"
"1963","Albie Pearson","Angels","154","578","684","176","139","26","5","6","92","47","92","37","17","10",".304",".402",".398",".800","4.4","1010108"
"1953","Ferris Fain","White Sox","128","446","564","114","88","18","2","6","73","52","108","28","3","2",".256",".405",".345",".750","2.1","1003902"
"2017","Miguel Sano","Twins","114","424","483","112","67","15","2","28","75","77","54","173","0","0",".264",".352",".507",".859","2.4","12164"
"2015","Jose Abreu","White Sox","154","613","668","178","111","34","3","30","88","101","39","140","0","0",".290",".347",".502",".850","3.3","15676"
"1935","Billy Werber","Red Sox","124","462","549","118","71","30","3","14","84","61","69","41","29","7",".255",".357",".424",".781","2.5","1013783"
"1982","Rod Carew","Angels","138","523","612","167","134","25","5","3","88","44","67","49","10","17",".319",".396",".403",".799","4.3","1001942"
"2011","Mark Teixeira","Yankees","156","589","684","146","80","26","1","39","90","111","76","110","4","1",".248",".341",".494",".835","4.3","1281"
"2017","Khris Davis","Athletics","153","566","652","140","68","28","1","43","91","110","73","195","4","0",".247",".336",".528",".864","2.5","9112"
"1991","Joe Carter","Blue Jays","162","638","706","174","96","42","3","33","89","108","49","112","20","9",".273",".330",".503",".833","4.6","1002018"
"2000","Gabe Kapler","Rangers","116","444","491","134","87","32","1","14","59","66","42","57","8","4",".302",".360",".473",".833","0.8","1256"
"2015","Alex Rodriguez","Yankees","151","523","620","131","75","22","1","33","83","86","84","145","4","0",".250",".356",".486",".842","2.7","1274"
"1951","Dale Mitchell","Indians","134","510","570","148","109","21","7","11","83","62","53","16","7","7",".290",".358",".424",".782","2.5","1009000"
"1982","Rickey Henderson","Athletics","149","536","656","143","105","24","4","10","119","51","116","94","130","42",".267",".398",".382",".780","5.8","194"
"2018","Miguel Andujar","Yankees","149","573","606","170","94","47","2","27","83","92","25","97","2","1",".297",".328",".527",".855","2.8","15878"
"1973","Boog Powell","Orioles","114","370","464","98","73","13","1","11","52","54","85","64","0","2",".265",".398",".395",".792","2.3","1010482"
"1954","Gil McDougald","Yankees","126","394","473","102","66","22","2","12","66","48","62","64","3","4",".259",".364",".416",".780","3.9","1008471"
"1941","Benny McCoy","Athletics","141","517","620","140","113","12","7","8","86","61","95","50","3","3",".271",".384",".368",".751","3.0","1008425"
"1938","Buddy Lewis","Senators","151","656","724","194","138","35","9","12","122","91","58","35","17","9",".296",".354",".431",".785","2.6","1007578"
"2018","Nelson Cruz","Mariners","144","519","591","133","77","18","1","37","70","97","55","122","1","0",".256",".342",".509",".850","2.5","2434"
"1998","Darin Erstad","Angels","133","537","592","159","98","39","3","19","84","82","43","77","20","6",".296",".353",".486",".839","2.3","11"
"2012","Adam Jones","Orioles","162","648","697","186","112","39","3","32","103","82","34","126","16","7",".287",".334",".505",".839","4.4","6368"
"1992","Jose Canseco","- - -","119","439","512","107","66","15","0","26","74","87","63","128","6","7",".244",".344",".456",".799","2.5","1001918"
"2014","Robinson Cano","Mariners","157","595","665","187","134","37","2","14","77","82","61","68","10","3",".314",".382",".454",".836","5.6","3269"
"1970","Tony Conigliaro","Red Sox","146","560","617","149","92","20","1","36","89","116","43","93","4","2",".266",".324",".498",".822","2.4","1002502"
"1932","Mule Haas","Athletics","143","558","649","170","131","28","5","6","91","65","62","49","1","0",".305",".376",".405",".781","2.7","1005173"
"1958","Mickey Vernon","Indians","119","355","404","104","71","22","3","8","49","55","44","56","0","4",".293",".372",".439",".812","1.5","1013416"
"2005","Jermaine Dye","White Sox","145","529","579","145","83","29","2","31","74","86","39","99","11","4",".274",".333",".512",".846","2.2","911"
"1938","Frankie Pytlak","Indians","113","364","406","112","90","14","7","1","46","43","36","15","9","5",".308",".376",".393",".769","1.6","1010585"
"1987","Lloyd Moseby","Blue Jays","155","592","670","167","110","27","4","26","106","96","70","124","39","7",".282",".358",".473",".831","3.6","1009238"
"1951","Gil Coan","Senators","135","538","591","163","122","25","7","9","85","62","39","62","8","5",".303",".357",".426",".782","3.0","1002373"
"1997","Harold Baines","- - -","137","452","510","136","97","23","0","16","55","67","55","62","0","1",".301",".375",".458",".832","1.6","1000434"
"2001","Corey Koskie","Twins","153","562","649","155","90","37","2","26","100","103","68","118","27","6",".276",".362",".488",".850","5.8","738"
"1994","Felix Jose","Royals","99","366","403","111","71","28","1","11","56","55","35","75","10","12",".303",".362",".475",".838","0.9","1610"
"1954","Jim Rivera","White Sox","145","490","552","140","103","16","8","13","62","61","49","68","18","10",".286",".356",".431",".787","2.0","1011002"
"1951","Billy Goodman","Red Sox","141","546","638","162","124","34","4","0","92","50","79","37","7","4",".297",".388",".374",".761","1.6","1004856"
"1969","Paul Blair","Orioles","150","625","685","178","115","32","5","26","102","76","40","72","20","6",".285",".327",".477",".804","7.1","1001031"
"1985","Brett Butler","Indians","152","591","666","184","137","28","14","5","106","50","63","42","47","20",".311",".377",".431",".808","3.8","1001772"
"1968","Mickey Mantle","Yankees","144","435","547","103","70","14","1","18","57","54","106","97","6","2",".237",".385",".398",".782","2.8","1008082"
"2015","George Springer","Astros","102","388","451","107","70","19","2","16","59","41","50","109","16","4",".276",".367",".459",".826","3.9","12856"
"1976","Lyman Bostock","Twins","128","474","517","153","119","21","9","4","75","60","33","37","12","6",".323",".364",".430",".794","3.5","1001220"
"1962","Leon Wagner","Angels","160","612","678","164","101","21","5","37","96","107","50","87","7","5",".268",".326",".500",".826","1.9","1013487"
"1979","Hal McRae","Royals","101","393","444","113","67","32","4","10","55","74","38","46","5","4",".288",".351",".466",".816","1.4","1008687"
"2015","Prince Fielder","Rangers","158","613","693","187","136","28","0","23","78","98","64","88","0","0",".305",".378",".463",".841","2.0","4613"
"1970","Thurman Munson","Yankees","132","453","526","137","102","25","4","6","59","53","57","56","5","7",".302",".386",".415",".801","5.0","1009334"
"1956","Pete Runnels","Senators","147","578","646","179","133","29","9","8","72","76","58","64","5","5",".310",".372",".433",".805","2.6","1011303"
"1951","Mickey Vernon","Senators","141","546","602","160","114","30","7","9","69","87","53","45","7","6",".293",".358",".423",".781","2.0","1013416"
"1941","Lou Boudreau","Indians","148","579","681","149","86","45","8","10","95","56","85","57","9","4",".257",".355",".415",".770","4.5","1001234"
"1970","Reggie Jackson","Athletics","149","426","514","101","55","21","2","23","57","66","75","135","26","17",".237",".359",".458",".817","2.7","1006308"
"1935","Tony Lazzeri","Yankees","130","477","544","130","93","18","6","13","72","83","63","75","11","5",".273",".361",".417",".778","2.7","1007422"
"1979","Amos Otis","Royals","151","577","660","170","122","28","2","18","100","90","68","92","30","5",".295",".369",".444",".813","3.3","1009893"
"2011","Nick Swisher","Yankees","150","526","635","137","84","30","0","23","81","85","95","125","2","2",".260",".374",".449",".822","3.4","4599"
"1982","Jerry Mumphrey","Yankees","123","477","533","143","100","24","10","9","76","68","50","66","11","3",".300",".364",".449",".813","2.8","1009314"
"1964","Elston Howard","Yankees","150","550","607","172","127","27","3","15","63","84","48","73","1","1",".313",".371",".455",".825","6.0","1006079"
"2001","Ichiro Suzuki","Mariners","157","692","738","242","192","34","8","8","127","69","30","53","56","14",".350",".381",".457",".838","6.0","1101"
